Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
179,"Adamantan-2-ol, 5-amino-",IQZMKGCMSXOILZ-UHFFFAOYSA-N ,IQZMKGCMSXOILZ,29,167.13,426,518,NA,NA,8633,2,0.046511628,3.20806808,,high,659.2399319,0.33031242
351,"2-NONEN-4-YNE, (Z)-",VSLJPTWFNWRVBG-HYXAFXHYSA-N,VSLJPTWFNWRVBG,23,122.23,527,527,NA,NA,3859,2,0.090909091,6.729971327,,low,744.7645312,0.629356061
352,"2-NONEN-4-YNE, (E)-",VSLJPTWFNWRVBG-HWKANZROSA-N,VSLJPTWFNWRVBG,23,122.23,572,572,NA,NA,5965,2,0.090909091,6.729971327,,low,750.1984509,0.702755075
4,4-Vinylcyclohexene diepoxide (isomer 2),OECTYKWYRCHAKR-UHFFFAOYSA-N   ,OECTYKWYRCHAKR,22,140.08,442,457,73.2,NA,4994,1,0.041666667,0.968719973,,high,233.838459,0.595372241
5,Ethoxyacetylene,WMYNMYVRWWCRPS-UHFFFAOYSA-N  ,WMYNMYVRWWCRPS,11,70.04,NA,NA,NA,NA,600,1,0.1,3.181244729,,high,280.2421865,0.56490152
28,Propylene ozonide,IZHVFAKMAKGJLM-UHFFFAOYSA-N  ,IZHVFAKMAKGJLM,12,90.03,NA,NA,NA,NA,1578,1,0.1,2.711671445,,high,681.5617143,0.557893737
30,"1,2,4-Trioxolane",RZYIPLSVRHWROD-UHFFFAOYSA-N ,RZYIPLSVRHWROD,9,76.02,443,443,68.3,1,1354,1,0.035714286,3.613957584,,high,837.0841086,0.543055763
46,"1,3-Dihydroxyacetone dimer",KEQUNHIAUQQPAC-UHFFFAOYSA-N ,KEQUNHIAUQQPAC,24,180.06,NA,NA,NA,NA,3803,1,0.041666667,2.998857948,,high,155.4316449,0.658853113
52,"7-Oxabicyclo[4.1.0]heptane, 2-methylene-",RBGPCWFDIPYZNK-UHFFFAOYSA-N  ,RBGPCWFDIPYZNK,18,110.07,568,571,0.19,17,5035,1,0.047619048,0.891686099,,high,724.8675293,0.646169152
53,"2-Cyclopenten-1-one, 5-hydroxy-2,3-dimethyl-",GOTCNQYWFYTGJN-UHFFFAOYSA-N  ,GOTCNQYWFYTGJN,19,126.07,589,590,27.1,1,2732,1,0.03030303,1.609411641,,high,778.8584132,0.318437841
54,"Cyclobutanone, 2-methyl-2-oxiranyl-",FRZGGKAGDGVHBI-UHFFFAOYSA-N  ,FRZGGKAGDGVHBI,19,126.07,NA,NA,NA,NA,5011,1,0.076923077,0.750023276,,high,243.2006811,0.366819442
55,"Bicyclo[2.2.1]heptan-2-ol, 2-(1-cyclopenten-1-yl)-",UEFLEQZTKKQMBA-UHFFFAOYSA-N  ,UEFLEQZTKKQMBA,31,178.14,NA,NA,NA,NA,9919,1,0.090909091,0.484252849,,high,401.2894495,0.408401872
56,Cyclopropanecarboxylic acid,YMGUBTXCNDTFJI-UHFFFAOYSA-N  ,YMGUBTXCNDTFJI,12,86.04,505,506,0,25,2848,1,0.071428571,0.549627691,,high,424.0703749,0.598539624
