Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
541,"1,2-DIMETHYLAZIRIDINE",LDUKCCKFNKIVMS-UHFFFAOYNA-N,LDUKCCKFNKIVMS,13,71.14,721,730,3.09,5,3165,0,0,0.453340809,,high,967.4982085,0.960455805
543,"TRICYCLO[3.2.1.0(2,4)]OCTANE",PSZPCAFRANQPLS-UHFFFAOYNA-N,PSZPCAFRANQPLS,20,108.20,NA,NA,NA,NA,7359,0,0,0.48234375,,high,452.955067,0.65881759
544,"TRICYCLO[4.1.1.0(2,5)]OCTANE",OTJYGFDMTQLPSU-UHFFFAOYNA-N,OTJYGFDMTQLPSU,20,108.20,421,505,NA,NA,6468,0,0,0.48234375,,high,454.5544755,0.636237509
546,"2-OXABICYCLO[3.2.0]HEPTA-3,6-DIENE",QYLMHRXTFJNXPK-UHFFFAOYNA-N,QYLMHRXTFJNXPK,12,94.12,638,638,1.31,11,4314,0,0,0.484479188,,high,919.780028,0.671386232
547,"CIS-4-HYDROXYTRICYCLO[3.1.0.0(2,6)]HEXANE-3-CARBONITRILE",OYLCLOGYABGECX-UHFFFAOYNA-N,OYLCLOGYABGECX,14,123.17,NA,NA,NA,NA,3428,0,0,0.495147874,,high,625.5866623,0.297235439
548,"BICYCLO[3.2.0]HEPTA-2,6-DIENE",PZWQRDVVVKIYLX-UHFFFAOYNA-N,PZWQRDVVVKIYLX,15,92.15,544,666,0.04,81,4854,0,0,0.497742313,,high,787.4082841,0.630566282
549,"2,5-NORBORNADIENE",SJYNFBVQFBRSIB-UHFFFAOYSA-N,SJYNFBVQFBRSIB,15,92.15,719,719,47.5,1,3976,0,0,0.497742313,,high,797.9275008,0.665411018
550,CYCLOPROPANECARBONITRILE,AUQDITHEDVOTCU-UHFFFAOYSA-N,AUQDITHEDVOTCU,9,69.12,558,558,0.3,46,3322,0,0,0.503099072,,high,812.5774835,0.392618701
551,"CYCLOPROPANE, ETHYLIDENE-",ZIFNDRXSSPCNID-UHFFFAOYSA-N,ZIFNDRXSSPCNID,13,68.13,589,589,0.04,100,1984,0,0,0.503099072,,high,830.8287133,0.640749684
552,"SPIRO[CYCLOPROPANE-1,6'-[3]OXATRICYCLO[3.2.1.0(2,4)]OCTANE]",AFICLWPORBGTPD-UHFFFAOYNA-N,AFICLWPORBGTPD,21,136.21,552,552,NA,NA,3871,0,0,0.512928146,,high,595.1463958,0.515841837
553,"TRICYCLO[4.2.0.0(2,4)]OCT-7-EN-5-ONE",ADXLIAGMLNOWRF-UHFFFAOYNA-N,ADXLIAGMLNOWRF,16,121.17,556,629,NA,NA,3489,0,0,0.5173474,,high,872.2927648,0.520259436
554,BICYCLO[3.1.0]HEXAN-2-ONE,HFCMQKFXCMZZMZ-UHFFFAOYNA-N,HFCMQKFXCMZZMZ,14,97.15,669,716,4.83,6,1540,0,0,0.526089675,,high,932.6684176,0.758123226
555,BICYCLO[3.1.0]HEXAN-3-ONE,WQQZKEFUOHKGII-UHFFFAOYNA-N,WQQZKEFUOHKGII,14,97.15,713,713,13.3,5,4739,0,0,0.526089675,,high,940.9553644,0.766790203
556,"1-CYCLOPROPANECARBONITRILE, 1-AMINO",UIVATUPCWVUVIM-UHFFFAOYSA-N,UIVATUPCWVUVIM,12,84.14,416,416,0,98,897,0,0,0.549627691,,high,565.6705623,0.491120926
557,PYRROLE,KAESVJOAVNADME-UHFFFAOYSA-N,KAESVJOAVNADME,9,67.10,807,807,87.3,1,952,0,0,0.554655786,,high,952.755209,0.772977975
558,FURAN,YLQBMQCUIZJEEH-UHFFFAOYSA-N,YLQBMQCUIZJEEH,8,68.08,800,800,67.2,1,803,0,0,0.554655786,,high,987.7603968,0.80608416
559,"CYCLOPROPANE, 1,1,2-TRIMETHYL-",BXIIJPAVISPOGI-UHFFFAOYNA-N,BXIIJPAVISPOGI,18,84.18,562,562,NA,NA,5146,0,0,0.555555556,,high,725.3457352,0.655260428
560,6-OXA-BICYCLO[3.1.0]HEXAN-3-OL,BMXGLUVWNGLWCQ-UHFFFAOYNA-N,BMXGLUVWNGLWCQ,15,100.13,318,319,NA,NA,1280,0,0,0.557796306,,high,344.7217226,0.405694791
561,DICYCLOBUTYLIDENE OXIDE,VHXMCTHNISBELQ-UHFFFAOYSA-N,VHXMCTHNISBELQ,20,124.20,NA,NA,NA,NA,5136,0,0,0.563566967,,high,799.7335923,0.158454817
562,9-AZADISPIRO[3.1.3.0]NONANE,BSKNUNCXXRBFER-UHFFFAOYSA-N,BSKNUNCXXRBFER,21,123.22,453,453,NA,NA,3097,0,0,0.563566967,,high,504.0321111,0.547634325
563,"SPIRO[BICYCLO[2.2.1]HEPT-5-ENE-2,1'-CYCLOPROPANE]",TYFPMPJIRDNPJL-UHFFFAOYNA-N,TYFPMPJIRDNPJL,21,120.21,NA,NA,NA,NA,5694,0,0,0.563575599,,high,648.0380359,0.430594945
564,"TRICYCLO[3.2.1.0(2,4)]OCTANE, 3-METHYLENE-",KRPZXNZILJQDKG-UHFFFAOYNA-N,KRPZXNZILJQDKG,21,120.21,513,513,NA,NA,3661,0,0,0.563575599,,high,595.6099254,0.629656035
566,"TRICYCLO[3.2.1.0(2,4)]OCTANE, 8-METHYLENE-, (1.ALPHA.,2.ALPHA.,4.ALPHA.,5.ALPHA.",SZEDHOXKNCVHIL-UHFFFAOYNA-N,SZEDHOXKNCVHIL,21,120.21,NA,NA,NA,NA,6485,0,0,0.563575599,,high,565.9219077,0.533729958
567,"TRICYCLO[3.2.1.0(2,4)]OCTANE, 1-METHYL-",SMJROXSMWHJZJX-UHFFFAOYNA-N,SMJROXSMWHJZJX,23,122.23,NA,NA,NA,NA,4103,0,0,0.574345825,,high,331.2541193,0.389427126
568,"1,3-CYCLOPENTADIENE",ZSWFCLXCOIISFI-UHFFFAOYSA-N,ZSWFCLXCOIISFI,11,66.11,662,662,0.04,27,2585,0,0,0.576849309,,high,895.8790331,0.886467018
569,7-AZANORBORNENE,DLAUQDHZCKKXBK-UHFFFAOYNA-N,DLAUQDHZCKKXBK,15,95.16,NA,NA,NA,NA,1401,0,0,0.577320665,,high,305.0035924,0.084217643
570,"TRICYCLO[2.2.1.0(2,6)]HEPTAN-3-ONE, OXIME",OCLZLZYHIKOGPZ-FPLPWBNLNA-N,OCLZLZYHIKOGPZ,16,124.18,615,619,0.71,17,11994,0,0,0.578333908,,high,860.7756598,0.642638247
571,"3-OXATRICYCLO[4.2.0.0(2,4)]OCTAN-7-ONE",GJTMXOICTLOFHO-UHFFFAOYNA-N,GJTMXOICTLOFHO,17,125.16,NA,NA,NA,NA,3520,0,0,0.578333908,,high,608.2019568,0.362716893
572,"1,5-DIMETHYL-6-OXA-BICYCLO[3.1.0]HEXANE",UXMPPYGRAFYWRK-UHFFFAOYNA-N,UXMPPYGRAFYWRK,19,112.19,590,590,0.13,47,4164,0,0,0.583051383,,high,887.6871335,0.787527126
573,"2,2-DIMETHYL-1-OXA-SPIRO[2.3]HEXANE",UBAWWGVGPSSQOC-UHFFFAOYSA-N,UBAWWGVGPSSQOC,19,112.19,237,237,NA,NA,1843,0,0,0.583051383,,high,639.1890052,0.302825566
574,"2,2-DIMETHYL-1-AZA-SPIRO[2.3]HEXANE",NOOFIMYCZCAZSL-UHFFFAOYSA-N,NOOFIMYCZCAZSL,20,111.21,NA,NA,NA,NA,2448,0,0,0.583051383,,high,487.4338307,0.668855267
575,SPIRO[2.4]HEPTANE,HEMCGZPSGYRIOL-UHFFFAOYSA-N,HEMCGZPSGYRIOL,19,96.19,437,465,NA,NA,5260,0,0,0.5859375,,high,474.5776165,0.469111176
577,"CYCLOBUTANE, 1,2-BIS(METHYLENE)-",QOFLWDYWJZBWHM-UHFFFAOYSA-N,QOFLWDYWJZBWHM,14,80.14,478,478,0.39,22,3351,0,0,0.592156846,,high,657.4290169,0.516197187
579,"BICYCLO[3.1.0]HEXANE, 1,5-DIMETHYL-",ZBLUGCVTVHUUCH-UHFFFAOYNA-N,ZBLUGCVTVHUUCH,22,110.22,NA,NA,NA,NA,3125,0,0,0.595486111,,high,577.360355,0.407967538
583,5-METHYL-6-KETO-BICYCLO(2.2.0)-5-AZA-HEX-2-ENE,FUYSJCQQUNMNIX-UHFFFAOYNA-N,FUYSJCQQUNMNIX,13,110.15,671,705,12.1,4,1467,0,0,0.602578362,,high,908.5482245,0.771910986
584,1H-IMIDAZOLE,RAXXELZNTBOGNW-UHFFFAOYSA-N,RAXXELZNTBOGNW,9,69.10,825,827,22.5,3,786,0,0,0.607222981,,high,965.1563898,0.901852084
585,1H-PYRAZOLE,WTKZEGDFNFYCGP-UHFFFAOYSA-N,WTKZEGDFNFYCGP,9,69.10,732,732,13.4,5,773,0,0,0.607222981,,high,971.8828901,0.827632942
586,OXAZOLE,ZCQWOFVYLHDMMC-UHFFFAOYSA-N,ZCQWOFVYLHDMMC,6,70.08,753,753,33.1,6,660,0,0,0.607222981,,high,956.7493118,0.8206646
587,ISOXAZOLE,CTAPFRYPJLPFDF-UHFFFAOYSA-N,CTAPFRYPJLPFDF,6,70.08,539,539,0.01,59,565,0,0,0.607222981,,high,818.9227452,0.728480505
588,"AZETIDINE, 2-METHYL-",DLBWPRNUXWYLRN-UHFFFAOYNA-N,DLBWPRNUXWYLRN,13,71.14,664,679,4.8,8,1061,0,0,0.618200032,,high,907.349462,0.809952291
589,"AZETIDINE, 1-METHYL-",WWYVZTLIFYLZFM-UHFFFAOYSA-N,WWYVZTLIFYLZFM,13,71.14,541,548,NA,NA,1032,0,0,0.618200032,,high,892.3790032,0.599199064
592,CYCLOBUTYLAMINE,KZZKOVLJUKWSKX-UHFFFAOYSA-N,KZZKOVLJUKWSKX,13,71.14,564,564,NA,NA,1085,0,0,0.618200032,,high,452.1578943,0.869786141
593,CYCLOBUTANOL,KTHXBEHDVMTNOH-UHFFFAOYSA-N,KTHXBEHDVMTNOH,12,72.12,571,571,0.12,52,919,0,0,0.618200032,,high,543.1028898,0.902435138
596,"2-AZACYCLOPROPA[CD]PENTALENE, OCTAHYDRO-2-METHYL-",RDPVUZMOVZHRHV-UHFFFAOYNA-N,RDPVUZMOVZHRHV,21,123.22,520,533,NA,NA,3437,0,0,0.628068309,,high,689.0301491,0.447098405
597,"2-METHYL-2-AZATRICYCLO 5.1.0.0(4,8) OCTANE",MIDDZYMFLRWZCN-UHFFFAOYNA-N,MIDDZYMFLRWZCN,21,123.22,498,529,NA,NA,3912,0,0,0.628068309,,high,741.0080571,0.504252891
598,"TRICYCLO[4.2.1.0<2,5>]NON-3-ENE",XSKXEKKIOLQKBQ-UHFFFAOYNA-N,XSKXEKKIOLQKBQ,21,120.21,541,542,0.14,71,3309,0,0,0.632918435,,high,777.0198222,0.68036024
600,"AZIRIDINE, 2,2,3,3-TETRAMETHYL-",HMDSXVUTCZSHDZ-UHFFFAOYSA-N,HMDSXVUTCZSHDZ,19,99.20,NA,NA,NA,NA,2092,0,0,0.636882653,,high,574.7573461,0.799150245
601,"OXIRANE, TETRAMETHYL-",SYQIWVMFOAHDMK-UHFFFAOYSA-N,SYQIWVMFOAHDMK,18,100.18,174,174,NA,NA,1595,0,0,0.636882653,,high,327.9310783,0.180634628
602,"CYCLOBUTANE(1,6)SPIRO(2,3-DIAZABICYCLO[3.1.0]HEX-2-ENE)-4-SPIROCYCLOPROPANE",FKPDNKMXEGUTLZ-UHFFFAOYNA-N,FKPDNKMXEGUTLZ,23,150.25,NA,NA,NA,NA,4773,0,0,0.641321633,,high,743.8453656,0.439668878
603,ETHYLENE,VGGSQFUCUMXWEO-UHFFFAOYSA-N,VGGSQFUCUMXWEO,0,28.06,614,614,0.07,10,25082,0,0,0.644122112,,high,869.4588734,0.828270323
606,"3,3-DIMETHYL-1,5-DIAZABICYCLO[3.1.0]HEXANE",BLWIFXVIXXVYMI-UHFFFAOYNA-N,BLWIFXVIXXVYMI,0,112.20,NA,NA,NA,NA,27687,0,0,0.649854572,,high,824.682334,0.822736969
608,"CYCLOPROPANE, 1,1,2,2-TETRAMETHYL-",JCHUCGKEGUAHEH-UHFFFAOYSA-N,JCHUCGKEGUAHEH,0,98.21,497,497,NA,NA,29657,0,0,0.652095158,,high,585.756238,0.404520792
610,"1,2,5-OXADIAZOLE",JKFAIQOWCVVSKC-UHFFFAOYSA-N,JKFAIQOWCVVSKC,0,72.08,NA,NA,NA,NA,1942,0,0,0.662542741,,high,376.7123146,0.629364613
611,"1H-1,2,3-TRIAZOLE",QWENRTYMTSOGBR-UHFFFAOYSA-N,QWENRTYMTSOGBR,0,71.10,NA,NA,NA,NA,1874,0,0,0.662542741,,high,950.574597,0.445427787
612,"1H-1,2,4-TRIAZOLE",NSPMIYGKQJPBQR-UHFFFAOYSA-N,NSPMIYGKQJPBQR,0,71.10,736,736,83.9,1,499,0,0,0.662542741,,high,981.162398,0.550920415
613,"1-OXA-3,4-DIAZACYCLOPENTADIENE",FKASFBLJDCHBNZ-UHFFFAOYSA-N,FKASFBLJDCHBNZ,0,72.08,501,501,0.05,27,402,0,0,0.662542741,,high,967.7949588,0.251742115
